Rank,Title,Comment,Score,Url
132,"怪兽电力公司/Monsters, Inc./怪兽公司(港)  /  怪物公司",不要给它起名字，起了名字就有感情了。,8.6,https://movie.douban.com/subject/1291579/
133,无人知晓/誰も知らない/谁知赤子心(港)  /  无人知晓的夏日清晨(台),我的平常生活就是他人的幸福。,9.1,https://movie.douban.com/subject/1292337/
134,海蒂和爷爷/Heidi/飘零燕(港)  /  海蒂,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.1,https://movie.douban.com/subject/25958717/
135,岁月神偷/歲月神偷/1969太空漫游  /  Echoes Of The Rainbow,岁月流逝，来日可追。,8.7,https://movie.douban.com/subject/3792799/
136,电锯惊魂/Saw/夺魂锯(台)  /  恐惧斗室(港),真相就在眼前。,8.7,https://movie.douban.com/subject/1417598/
137,谍影重重3/The Bourne Ultimatum/叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),像吃了苏打饼一样干脆的电影。,8.8,https://movie.douban.com/subject/1578507/
138,七武士/七人の侍/七侠四义(港)  /  The Seven Samurai,时代悲歌。,9.2,https://movie.douban.com/subject/1295399/
139,疯狂原始人/The Croods/古鲁家族(港 / 台),老少皆宜，这就是好莱坞动画的魅力。,8.7,https://movie.douban.com/subject/1907966/
140,喜宴/囍宴/The Wedding Banquet,中国家庭的喜怒哀乐忍。,8.9,https://movie.douban.com/subject/1303037/
141,真爱至上/Love Actually/爱是您，爱是我(台)  /  真的恋爱了(港),爱，是个动词。,8.6,https://movie.douban.com/subject/1292401/
142,英雄本色/A Better Tomorrow  /  Gangland Boss,英雄泪短，兄弟情长。 ,8.7,https://movie.douban.com/subject/1297574/
143,血战钢锯岭/Hacksaw Ridge/钢锯岭  /  钢铁英雄(台),优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,https://movie.douban.com/subject/26325320/
144,玩具总动员3/Toy Story 3/反斗奇兵3(港)  /  玩具的故事3,跨度十五年的欢乐与泪水。,8.8,https://movie.douban.com/subject/1858711/
145,东邪西毒/東邪西毒/Ashes of Time,电影诗。,8.6,https://movie.douban.com/subject/1292328/
146,萤火虫之墓/火垂るの墓/再见萤火虫(港)  /  萤火挽歌,幸福是生生不息，却难以触及的远。 ,8.7,https://movie.douban.com/subject/1293318/
147,贫民窟的百万富翁/Slumdog Millionaire/贫民百万富翁(台)  /  一百万零一夜(港),上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8.5,https://movie.douban.com/subject/2209573/
148,傲慢与偏见/Pride & Prejudice/傲慢与偏见2005  /  Pride And Prejudice,爱是摈弃傲慢与偏见之后的曙光。,8.5,https://movie.douban.com/subject/1418200/
149,时空恋旅人/About Time/时空旅恋人  /  回到最爱的一天(港),把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7,https://movie.douban.com/subject/10577869/
150,黑天鹅/Black Swan/夺命黑天鹅  /  霸王别鹅(豆友译名),黑暗之美。,8.5,https://movie.douban.com/subject/1978709/
151,记忆碎片/Memento/失忆  /  记忆拼图(台),一个针管引发的血案。,8.6,https://movie.douban.com/subject/1304447/
152,心迷宫/殡棺  /  The Coffin in the Mountain,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,https://movie.douban.com/subject/25917973/
153,纵横四海/緃横四海/Once a Thief,香港浪漫主义警匪动作片的巅峰之作。,8.8,https://movie.douban.com/subject/1295409/
154,荒蛮故事/Relatos salvajes/蛮荒故事  /  生命中最抓狂的小事(台),始于荒诞，止于更荒诞。,8.8,https://movie.douban.com/subject/24750126/
155,教父3/The Godfather: Part III/教父第三集  /  教父 III,任何信念的力量，都无法改变命运。,8.8,https://movie.douban.com/subject/1294240/
156,雨人/Rain Man/手足情未了  /  手足情深,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8.7,https://movie.douban.com/subject/1291870/
157,完美的世界/A Perfect World/强盗保镳,坏人的好总是比好人的好来得更感人。,9.1,https://movie.douban.com/subject/1300992/
158,达拉斯买家俱乐部/Dallas Buyers Club/续命枭雄(港)  /  药命俱乐部(台),Jared Leto的腿比女人还美！,8.7,https://movie.douban.com/subject/1793929/
159,花样年华/花樣年華/In the Mood for Love,偷情本没有这样美。,8.6,https://movie.douban.com/subject/1291557/
160,"三块广告牌/Three Billboards Outside Ebbing, Missouri/意外(台)  /  广告牌杀人事件(港)",怼天怼地，你走后，她与世界为敌。,8.7,https://movie.douban.com/subject/26611804/
161,卢旺达饭店/Hotel Rwanda/卢安达饭店(台),当这个世界闭上双眼，他却敞开了怀抱。,8.9,https://movie.douban.com/subject/1291822/
162,被解救的姜戈/Django Unchained/被解放的姜戈  /  决杀令(台),热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.6,https://movie.douban.com/subject/6307447/
163,海边的曼彻斯特/Manchester by the Sea/情系海边之城(港),我们都有权利不与自己的过去和解。,8.6,https://movie.douban.com/subject/25980443/
164,你的名字。/君の名は。/你的名字  /  君之名,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,8.4,https://movie.douban.com/subject/26683290/
165,恋恋笔记本/The Notebook/深情日记  /  写我情真,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8.5,https://movie.douban.com/subject/1309163/
166,你看起来好像很好吃/おまえうまそうだな/你看起来很好吃(台)  /  你看上去好像很好吃,感情不分食草或者食肉。,8.8,https://movie.douban.com/subject/4848115/
167,头脑特工队/Inside Out/玩转脑朋友(港)  /  脑筋急转弯(台),愿我们都不用长大，每一座城堡都能永远存在。,8.7,https://movie.douban.com/subject/10533913/
168,虎口脱险/La grande vadrouille/横冲直撞出重围(港)  /  大進擊(台),永远看不腻的喜剧。,8.9,https://movie.douban.com/subject/1296909/
169,我是山姆/I Am Sam/不一样的爸爸(港)  /  他不笨，他是我爸爸(台),爱并不需要智商 。,8.9,https://movie.douban.com/subject/1306861/
170,海洋/Océans/Oceans  /  海洋,大海啊，不全是水。,9.0,https://movie.douban.com/subject/3443389/
171,无敌破坏王/Wreck-It Ralph/破坏王拉尔夫  /  破坏王大冒险,迪士尼和皮克斯拿错剧本的产物。,8.7,https://movie.douban.com/subject/6534248/
